00002497651110031 041593   1106470202009072 399803.04 36  11105.64F  11105.64 3554201802210000000000
00002497661110031 041593   1106470202009072 112771.44 36   3132.54F   3132.54 3554201802210000000000
00002497801110031 033189   1107735202009222 167920.92 36   4664.47F   4664.47 3610       00000000000
00002497811110031 033189   1107735202009222 279685.44 36   7769.04F   7769.04 3610       00000000000
00002497851110031 037754   1107220202009152  67958.28 36   1887.73F   1887.73 3554201802210000000000
00002497861110031 037754   1107220202009152  90442.08 36   2512.28F   2512.28 3554201802210000000000
00002498021110031 037890   1107148202009152 217284.84 36   6035.69F   6035.69 3554201802210000000000
00002498851110031 037026   1107032202009112   5430.96 36    150.86F    150.86 3554201802210000000000
00002498861110031 037026   1107032202009112 320061.60 36   8890.60F   8890.60 3554201802210000000000
00002499981110031 037918   1107629202009212 534520.44 36  14847.79F  14847.79 3610       00000000000
00002500091110031 035606   1107632202009212 102225.96 36   2839.61F   2839.61 3610       00000000000
00002500101110031 035606   1107632202009212 286713.72 36   7964.27F   7964.27 3610       00000000000
00002500151110031 038778   1107910202009232 300504.60 36   8347.35F   8347.35 3610       00000000000
00002500291110031 039670   1107743202009222  38092.68 36   1058.13F   1058.13 3610       00000000000
00002500301110031 039670   1107743202009222  94451.04 36   2623.64F   2623.64 3610       00000000000
00002501151110031 042848   1108422202009292 293536.80 36   8153.80F   8153.80 3610       00000000000
00002501161110031 042848   1108422202009292 257062.68 36   7140.63F   7140.63 3610       00000000000
00002501361110031 035635   1108342202009282  87003.00 36   2416.75F   2416.75 3610       00000000000
00002501371110031 035635   1108342202009282 454687.56 36  12630.21F  12630.21 3610       00000000000
00002501901110031 043186   1108382202009292 207863.64 36   5773.99F   5773.99 3610       00000000000
00002501911110031 043186   1108382202009292 291891.24 36   8108.09F   8108.09 3610       00000000000
00002501921110031 039791   1108287202009252  58232.16 36   1617.56F   1617.56 3610       00000000000
00002501941110031 046612   1108361202009282   9595.44 36    266.54F    266.54 3610       00000000000
00002501951110031 046612   1108361202009282 357398.28 36   9927.73F   9927.73 3610       00000000000
00002502051110031 045222   1109627202010132  12529.80 36    348.05F    348.05 3610       00000000000
00002502061110031 045222   1109627202010132 290582.28 36   8071.73F   8071.73 3610       00000000000
00002502481110031 038648   1108876202010052  76928.04 36   2136.89F   2136.89 3610       00000000000
00002502491110031 038648   1108876202010052 240307.56 36   6675.21F   6675.21 3610       00000000000
00002503021110031 033568   1108877202010052 280430.64 36   7789.74F   7789.74 3610       00000000000
00002503031110031 033568   1108877202010052 219106.80 36   6086.30F   6086.30 3610       00000000000
00002503091110031 033732   1109091202010062 225758.88 36   6271.08F   6271.08 3610       00000000000
00002503411110031 035290   1109787202010142 232711.92 36   6464.22F   6464.22 3610       00000000000
00002504221110031 037774   1109805202010142  96762.24 36   2687.84F   2687.84 3610       00000000000
00002504231110031 037774   1109805202010142 205263.36 36   5701.76F   5701.76 3610       00000000000
00002504641110031 044602   1109794202010142  82645.56 36   2295.71F   2295.71 3610       00000000000
00002504651110031 044602   1109794202010142 111606.84 36   3100.19F   3100.19 3610       00000000000
